method,run_pair,pairwise_ARI
Seurat,run2_vs_run10,1
Seurat,run2_vs_run11,1
Seurat,run2_vs_run12,0.943399499819876
Seurat,run2_vs_run13,0.998601253148603
Seurat,run2_vs_run14,0.996347331014247
Seurat,run2_vs_run15,0.951753148824276
Seurat,run2_vs_run16,1
Seurat,run2_vs_run17,0.999093854172511
Seurat,run2_vs_run18,0.999093854172511
Seurat,run2_vs_run19,1
Seurat,run2_vs_run20,0.999578101811737
Seurat,run2_vs_run21,1
Seurat,run2_vs_run22,1
Seurat,run2_vs_run23,1
Seurat,run2_vs_run24,0.997810491711086
Seurat,run2_vs_run25,1
Seurat,run2_vs_run26,0.998179843795691
Seurat,run2_vs_run27,1
Seurat,run2_vs_run28,1
Seurat,run2_vs_run29,0.997313310138654
Seurat,run2_vs_run30,0.999578101811737
Seurat,run2_vs_run31,0.995815886708137
Seurat,run2_vs_run32,0.950983970068319
Seurat,run2_vs_run33,1
Seurat,run2_vs_run34,0.996347331014247
Seurat,run2_vs_run35,0.999578101811737
Seurat,run2_vs_run36,0.996347331014247
Seurat,run2_vs_run37,0.998179843795691
Seurat,run2_vs_run38,0.998601253148603
Seurat,run2_vs_run39,0.998179843795691
Seurat,run2_vs_run40,0.999093854172511
Seurat,run2_vs_run41,0.998179843795691
Seurat,run2_vs_run42,0.998179843795691
Seurat,run2_vs_run43,0.996299069085368
Seurat,run2_vs_run44,0.998601253148603
Seurat,run2_vs_run45,0.998601253148603
Seurat,run2_vs_run46,0.934106220659402
Seurat,run2_vs_run47,0.998601253148603
Seurat,run2_vs_run48,0.998601253148603
Seurat,run2_vs_run49,0.999578101811737
Seurat,run2_vs_run50,0.997697107991184
Seurat,run2_vs_run51,0.999578101811737
Seurat,run2_vs_run52,1
Seurat,run2_vs_run53,0.998179843795691
Seurat,run2_vs_run54,0.998601253148603
Seurat,run2_vs_run55,1
Seurat,run2_vs_run56,0.950439705500723
Seurat,run2_vs_run57,0.998179843795691
Seurat,run2_vs_run58,0.996347331014247
Seurat,run2_vs_run59,0.950717387604507
Seurat,run2_vs_run60,1
Seurat,run2_vs_run61,0.950084422308413
Seurat,run2_vs_run62,0.997313310138654
Seurat,run2_vs_run63,0.951753148824276
Seurat,run2_vs_run64,0.998601253148603
Seurat,run2_vs_run65,1
Seurat,run2_vs_run66,0.996347331014247
Seurat,run2_vs_run67,0.995314978108964
Seurat,run2_vs_run68,1
Seurat,run2_vs_run69,1
Seurat,run2_vs_run70,0.996298058041077
Seurat,run2_vs_run71,0.974794144165014
Seurat,run2_vs_run72,0.998601253148603
Seurat,run2_vs_run73,0.94432073566892
Seurat,run2_vs_run74,0.999578101811737
Seurat,run2_vs_run75,0.952297755240363
Seurat,run2_vs_run76,0.998601253148603
Seurat,run2_vs_run77,0.951753148824276
Seurat,run2_vs_run78,0.996347331014247
Seurat,run2_vs_run79,0.943399499819876
Seurat,run2_vs_run80,0.998179843795691
Seurat,run2_vs_run81,0.998179843795691
Seurat,run2_vs_run82,1
Seurat,run2_vs_run83,0.996347331014247
Seurat,run2_vs_run84,0.998179843795691
Seurat,run2_vs_run85,1
Seurat,run2_vs_run86,0.998179843795691
Seurat,run2_vs_run87,0.952297755240363
Seurat,run2_vs_run88,0.999578101811737
Seurat,run2_vs_run89,0.951753148824276
Seurat,run2_vs_run90,1
Seurat,run2_vs_run91,0.998601253148603
Seurat,run2_vs_run92,0.998179843795691
Seurat,run2_vs_run93,0.995925818965866
Seurat,run2_vs_run94,0.951753148824276
Seurat,run2_vs_run95,0.998601253148603
Seurat,run2_vs_run96,0.999578101811737
Seurat,run2_vs_run97,0.998601253148603
Seurat,run2_vs_run98,0.999578101811737
Seurat,run2_vs_run99,0.951753148824276
Seurat,run3_vs_run4,0.997739986486507
Seurat,run3_vs_run5,0.996347331014247
Seurat,run3_vs_run6,0.997739986486507
Seurat,run3_vs_run7,0.998174786944841
Seurat,run3_vs_run8,0.997643391662482
Seurat,run3_vs_run9,0.997739986486507
Seurat,run3_vs_run10,0.996347331014247
Seurat,run3_vs_run11,0.996347331014247
Seurat,run3_vs_run12,0.944215138069376
Seurat,run3_vs_run13,0.997739986486507
Seurat,run3_vs_run14,1
Seurat,run3_vs_run15,0.948225615872638
Seurat,run3_vs_run16,0.996347331014247
Seurat,run3_vs_run17,0.997149475705463
Seurat,run3_vs_run18,0.997149475705463
Seurat,run3_vs_run19,0.996347331014247
Seurat,run3_vs_run20,0.99592581905393
Seurat,run3_vs_run21,0.996347331014247
Seurat,run3_vs_run22,0.996347331014247
Seurat,run3_vs_run23,0.996347331014247
Seurat,run3_vs_run24,0.994156638130054
Seurat,run3_vs_run25,0.996347331014247
Seurat,run3_vs_run26,0.997318580526135
Seurat,run3_vs_run27,0.996347331014247
Seurat,run3_vs_run28,0.996347331014247
Seurat,run3_vs_run29,0.998174786944841
Seurat,run3_vs_run30,0.99592581905393
Seurat,run3_vs_run31,0.9966763159289
Seurat,run3_vs_run32,0.950142932861431
Seurat,run3_vs_run33,0.996347331014247
Seurat,run3_vs_run34,1
Seurat,run3_vs_run35,0.99592581905393
Seurat,run3_vs_run36,1
Seurat,run3_vs_run37,0.997318580526135
Seurat,run3_vs_run38,0.997739986486507
Seurat,run3_vs_run39,0.997318580526135
Seurat,run3_vs_run40,0.997149475705463
Seurat,run3_vs_run41,0.997318580526135
Seurat,run3_vs_run42,0.997318580526135
Seurat,run3_vs_run43,0.992646088355645
Seurat,run3_vs_run44,0.997739986486507
Seurat,run3_vs_run45,0.997739986486507
Seurat,run3_vs_run46,0.937634259629668
Seurat,run3_vs_run47,0.997739986486507
Seurat,run3_vs_run48,0.997739986486507
Seurat,run3_vs_run49,0.99592581905393
Seurat,run3_vs_run50,0.998544718598604
Seurat,run3_vs_run51,0.99592581905393
Seurat,run3_vs_run52,0.996347331014247
Seurat,run3_vs_run53,0.997318580526135
Seurat,run3_vs_run54,0.997739986486507
Seurat,run3_vs_run55,0.996347331014247
Seurat,run3_vs_run56,0.949598511223932
Seurat,run3_vs_run57,0.997318580526135
Seurat,run3_vs_run58,1
Seurat,run3_vs_run59,0.947198694591498
Seurat,run3_vs_run60,0.996347331014247
Seurat,run3_vs_run61,0.950887913902828
Seurat,run3_vs_run62,0.998174786944841
Seurat,run3_vs_run63,0.948225615872638
Seurat,run3_vs_run64,0.997739986486507
Seurat,run3_vs_run65,0.996347331014247
Seurat,run3_vs_run66,1
Seurat,run3_vs_run67,0.994452981013774
Seurat,run3_vs_run68,0.996347331014247
Seurat,run3_vs_run69,0.996347331014247
Seurat,run3_vs_run70,0.992644078502016
Seurat,run3_vs_run71,0.975599182265533
Seurat,run3_vs_run72,0.997739986486507
Seurat,run3_vs_run73,0.943477615589082
Seurat,run3_vs_run74,0.99592581905393
Seurat,run3_vs_run75,0.948770435503663
Seurat,run3_vs_run76,0.997739986486507
Seurat,run3_vs_run77,0.948225615872638
Seurat,run3_vs_run78,1
Seurat,run3_vs_run79,0.944215138069376
Seurat,run3_vs_run80,0.997318580526135
Seurat,run3_vs_run81,0.997318580526135
Seurat,run3_vs_run82,0.996347331014247
Seurat,run3_vs_run83,1
Seurat,run3_vs_run84,0.997318580526135
Seurat,run3_vs_run85,0.996347331014247
